subset,approach,qtrmi_s,hvhsz_s,agfb_s,hbrn_s,slope_s,hwui_s,fbfm_s,avg,min,max,top500,utilbp_qtrmi_s_0,utilbp_qtrmi_s_1,utilbp_qtrmi_s_2,utilbp_qtrmi_s_3,utilbp_qtrmi_s_4,utilbp_hvhsz_s_0,utilbp_hvhsz_s_1,utilbp_hvhsz_s_2,utilbp_hvhsz_s_3,utilbp_hvhsz_s_4,utilbp_agfb_s_0,utilbp_agfb_s_1,utilbp_agfb_s_2,utilbp_agfb_s_3,utilbp_agfb_s_4,utilbp_hbrn_s_0,utilbp_hbrn_s_1,utilbp_hbrn_s_2,utilbp_hbrn_s_3,utilbp_hbrn_s_4,utilbp_slope_s_0,utilbp_slope_s_1,utilbp_slope_s_2,utilbp_slope_s_3,utilbp_slope_s_4,utilbp_hwui_s_0,utilbp_hwui_s_1,utilbp_hwui_s_2,utilbp_hwui_s_3,utilbp_hwui_s_4,utilbp_fbfm_s_0,utilbp_fbfm_s_1,utilbp_fbfm_s_2,utilbp_fbfm_s_3,utilbp_fbfm_s_4
subset_5,piecewise,0.9798744966455069,0.005528698985762174,0.013058066513197302,0.0,0.0,0.0,0.00153873785553367,205.74358974358975,7,423,39,0.0,0.0,0.9770103197969795,0.9798744966455069,,0.0,0.005528698985762174,0.005528698985762174,0.005528698985762174,,0.0,0.0,0.013058066513197302,0.013058066513197302,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.00153873785553367,0.00153873785553367,0.00153873785553367,
subset_5,linear,0.5293735957803206,0.2890224714154898,0.0,0.0,0.10525565849989696,0.0,0.07634827430429258,236.51282051282053,1,836,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset_6,piecewise,0.0,0.0,0.9944359496082795,0.0,0.002320114552483419,0.0,0.0032439358392370474,1788.5833333333333,59,4003,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944359496082795,0.9944359496082795,0.0,0.0,0.0,0.0,0.0,0.0,0.002320114552483419,0.002320114552483419,0.002320114552483419,0.002320114552483419,0.0,0.0,0.0,0.0,0.0,0.0,0.002196837693270084,0.0032439358392370474,0.0032439358392370474,0.0032439358392370474
subset_6,linear,0.0,0.0,0.5702608532948148,0.0,0.20561822325814305,0.0,0.22412092344704215,3410.8333333333335,437,9393,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset_7,piecewise,0.002786152404487015,0.0,0.012731236924881355,0.010061749258819374,0.0029822829476841874,0.9714385784641281,0.0,156.47058823529412,24,424,17,0.0,0.002786152404487015,0.002786152404487015,0.002786152404487015,,0.0,0.0,0.0,0.0,,0.0,0.0,0.012731236924881355,0.012731236924881355,,0.0,0.010061749258819374,0.010061749258819374,0.010061749258819374,,0.0,0.0021680305724557903,0.0029822829476841874,0.0029822829476841874,,0.0,0.0,0.9682370400497207,0.9714385784641281,,0.0,0.0,0.0,0.0,
subset_7,linear,0.055113837999895755,0.0,0.12343620754980156,0.22057856086918662,0.1463564714226002,0.45451492215851585,0.0,616.4705882352941,149,2071,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset_8,piecewise,0.0001940544088287116,0.0,0.5349391069549416,0.0023961110453773996,0.00033499751483308834,0.46213573007601916,0.0,2334.4285714285716,1712,3202,0,0.0,0.0001940544088287116,0.0001940544088287116,0.0001940544088287116,0.0001940544088287116,0.0,0.0,0.0,0.0,0.0,0.0,0.5300832639440487,0.5349391069549416,0.5349391069549416,0.5349391069549416,0.0,0.0023961110453773996,0.0023961110453773996,0.0023961110453773996,0.0023961110453773996,0.0,0.00033499751483308834,0.00033499751483308834,0.00033499751483308834,0.00033499751483308834,0.0,0.0,0.0,0.4618317182633337,0.46213573007601916,0.0,0.0,0.0,0.0,0.0
subset_8,linear,0.036156219680309916,0.0,0.0,0.40049865242093496,0.0,0.5633451278987551,0.0,5046.619047619048,2979,8531,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset_9,piecewise,0.0,0.0,0.562276248997878,0.0,0.0,0.437723751002122,0.0,13428.684210526315,8395,15993,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562276248997878,0.562276248997878,0.562276248997878,0.562276248997878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437723751002122,0.437723751002122,0.0,0.0,0.0,0.0,0.0
subset_9,linear,0.287272388340299,0.0,0.0,0.42033085134216885,0.0,0.2923967603175322,0.0,22571.394736842107,22178,23124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
