MISSION CANYON ON WILLIAMS WAY

p_57941.0	17.956	0.180	0.502	0.501	26.757	0.271	80.296	0.803	28.333	0.082	14.850	0.333	7.950	0.140	0.786
p_57889.0	17.438	0.174	0.169	0.168	27.322	0.277	79.470	0.795	30.000	0.086	17.090	0.383	8.401	0.147	0.779
p_57888.0	17.503	0.175	0.090	0.089	26.157	0.265	78.030	0.780	41.000	0.118	10.000	0.224	8.401	0.147	0.762
p_57999	48.108	0.156	0.882	0.882	21.744	0.221	76.983	0.770	0.000	0.000	24.560	0.551	7.104	0.875	0.762
p_57979.0	27.204	0.272	0.800	0.799	24.483	0.248	77.432	0.774	3.000	0.009	19.910	0.446	7.019	0.123	0.760
p_58849	17.412	0.369	0.627	0.629	25.965	0.263	76.923	0.769	33.000	0.095	14.290	0.320	8.401	0.853	0.759
p_57878.0	17.446	0.174	0.153	0.152	27.201	0.276	77.513	0.775	29.000	0.084	13.350	0.299	8.401	0.147	0.759
p_57916.0	21.100	0.211	0.482	0.484	26.016	0.264	76.752	0.768	15.500	0.045	16.820	0.377	8.401	0.147	0.753
p_57877.0	17.605	0.176	0.098	0.099	25.780	0.261	76.642	0.766	42.000	0.121	13.050	0.292	8.401	0.147	0.750
p_57940.0	18.854	0.189	0.000	0.000	26.097	0.265	76.002	0.760	25.000	0.072	13.280	0.297	8.401	0.147	0.744
p_57876.0	17.381	0.174	0.169	0.170	25.359	0.257	75.992	0.760	43.000	0.124	9.680	0.217	8.401	0.147	0.743
p_57805.0	17.584	0.176	0.125	0.126	24.990	0.253	75.874	0.759	44.000	0.127	7.390	0.165	8.401	0.147	0.741
p_57829	17.792	0.364	0.000	0.000	25.474	0.258	75.054	0.751	44.000	0.127	11.200	0.251	8.401	0.853	0.739
p_58844.0	17.645	0.176	0.114	0.113	27.026	0.274	75.552	0.756	32.000	0.092	8.900	0.199	8.401	0.147	0.738
p_58028.0	17.144	0.171	0.773	0.773	33.592	0.341	74.890	0.749	0.000	0.000	21.640	0.485	8.745	0.154	0.737
p_57830.0	17.719	0.177	0.129	0.130	24.449	0.248	74.702	0.747	50.000	0.144	15.500	0.347	8.401	0.147	0.732
p_57963.0	17.355	0.174	0.459	0.458	28.114	0.285	74.685	0.747	24.000	0.069	13.930	0.312	8.401	0.147	0.732
p_57906.0	17.593	0.176	0.063	0.064	24.701	0.251	74.432	0.744	47.000	0.135	11.160	0.250	8.401	0.147	0.728
p_58843.0	17.648	0.176	0.000	0.000	25.974	0.263	74.447	0.744	38.000	0.110	9.010	0.202	8.401	0.147	0.727
p_57907.0	17.984	0.180	0.286	0.287	26.614	0.270	73.489	0.735	32.000	0.092	6.660	0.149	8.401	0.147	0.718
p_57905.0	17.389	0.174	0.067	0.065	24.666	0.250	73.364	0.734	40.000	0.115	7.060	0.158	8.401	0.147	0.716
p_57853.0	17.480	0.175	0.337	0.336	27.830	0.282	73.171	0.732	23.000	0.066	11.970	0.268	8.401	0.147	0.716
p_57852.0	17.721	0.177	0.063	0.064	24.362	0.247	73.095	0.731	45.000	0.130	9.900	0.222	8.401	0.147	0.714
p_57893.0	18.173	0.182	0.043	0.043	24.710	0.251	72.857	0.729	43.000	0.124	14.590	0.327	8.401	0.147	0.714
p_57920.0	17.990	0.180	0.176	0.175	23.821	0.242	72.584	0.726	49.000	0.141	18.300	0.410	8.401	0.147	0.712
p_57964.0	17.811	0.178	0.173	0.174	26.907	0.273	72.587	0.726	28.000	0.081	7.540	0.169	8.401	0.147	0.709
p_57967.0	17.889	0.179	0.239	0.241	23.978	0.243	72.043	0.720	46.000	0.133	14.180	0.318	8.401	0.147	0.706
p_57802.0	17.289	0.173	0.000	0.000	25.033	0.254	72.125	0.721	37.000	0.107	5.130	0.114	8.401	0.147	0.704
p_58845.0	17.745	0.177	0.086	0.086	23.568	0.239	71.590	0.716	45.000	0.130	17.290	0.387	8.401	0.147	0.702
